Country,Year,Sector,GDP
USA,2015,Agriculture,200
USA,2015,Manufacturing,1000
USA,2015,Services,3000
USA,2016,Agriculture,210
USA,2016,Manufacturing,1050
USA,2016,Services,3100
USA,2017,Agriculture,220
USA,2017,Manufacturing,1100
USA,2017,Services,3250
USA,2018,Agriculture,230
USA,2018,Manufacturing,1200
USA,2018,Services,3400
USA,2019,Agriculture,240
USA,2019,Manufacturing,1300
USA,2019,Services,3600
USA,2020,Agriculture,245
USA,2020,Manufacturing,1400
USA,2020,Services,3750
China,2015,Agriculture,400
China,2015,Manufacturing,1500
China,2015,Services,2000
China,2016,Agriculture,410
China,2016,Manufacturing,1600
China,2016,Services,2200
China,2017,Agriculture,420
China,2017,Manufacturing,1700
China,2017,Services,2400
China,2018,Agriculture,430
China,2018,Manufacturing,1850
China,2018,Services,2650
China,2019,Agriculture,440
China,2019,Manufacturing,2000
China,2019,Services,2800
China,2020,Agriculture,450
China,2020,Manufacturing,2100
China,2020,Services,2950
Germany,2015,Agriculture,100
Germany,2015,Manufacturing,800
Germany,2015,Services,1800
Germany,2016,Agriculture,105
Germany,2016,Manufacturing,850
Germany,2016,Services,1900
Germany,2017,Agriculture,110
Germany,2017,Manufacturing,900
Germany,2017,Services,2000
Germany,2018,Agriculture,115
Germany,2018,Manufacturing,950
Germany,2018,Services,2100
Germany,2019,Agriculture,120
Germany,2019,Manufacturing,1000
Germany,2019,Services,2200
Germany,2020,Agriculture,125
Germany,2020,Manufacturing,1050
Germany,2020,Services,2300
Brazil,2015,Agriculture,250
Brazil,2015,Manufacturing,400
Brazil,2015,Services,1200
Brazil,2016,Agriculture,260
Brazil,2016,Manufacturing,420
Brazil,2016,Services,1250
Brazil,2017,Agriculture,270
Brazil,2017,Manufacturing,440
Brazil,2017,Services,1300
Brazil,2018,Agriculture,280
Brazil,2018,Manufacturing,460
Brazil,2018,Services,1400
Brazil,2019,Agriculture,290
Brazil,2019,Manufacturing,480
Brazil,2019,Services,1500
Brazil,2020,Agriculture,295
Brazil,2020,Manufacturing,500
Brazil,2020,Services,1600
Japan,2015,Agriculture,150
Japan,2015,Manufacturing,900
Japan,2015,Services,2500
Japan,2016,Agriculture,155
Japan,2016,Manufacturing,950
Japan,2016,Services,2550
Japan,2017,Agriculture,160
Japan,2017,Manufacturing,1000
Japan,2017,Services,2600
Japan,2018,Agriculture,165
Japan,2018,Manufacturing,1050
Japan,2018,Services,2700
Japan,2019,Agriculture,170
Japan,2019,Manufacturing,1100
Japan,2019,Services,2800
Japan,2020,Agriculture,175
Japan,2020,Manufacturing,1150
Japan,2020,Services,2900
